date,Social Media,Twitter,Big Data,Google Trend,Facebook,Cell Phone,Call Detail Records
2020-04-14,44,29,23,8,5,1,0
2020-04-15,47,30,24,10,5,2,0
2020-04-16,49,30,24,10,5,2,0
2020-04-17,55,33,26,10,6,3,0
2020-04-18,57,34,27,13,6,3,0
2020-04-19,57,35,27,13,6,3,0
2020-04-20,61,38,27,16,6,3,0
2020-04-21,68,41,27,16,6,3,0
2020-04-22,72,43,29,16,8,3,0
2020-04-23,74,43,29,16,8,4,0
2020-04-24,80,44,29,16,8,4,0
2020-04-25,82,44,29,17,8,4,0
2020-04-26,85,45,30,17,8,4,0
2020-04-27,85,45,33,17,8,4,1
2020-04-28,88,45,33,17,8,4,1
2020-04-29,89,47,35,18,8,5,1
2020-04-30,93,47,37,18,8,5,1
2020-05-01,96,49,37,18,8,5,1
2020-05-02,99,50,39,19,8,5,1
2020-05-03,101,51,39,19,9,5,1
2020-05-04,104,52,39,19,10,5,1
2020-05-05,108,56,41,21,12,6,1
2020-05-06,114,60,42,21,12,6,1
2020-05-07,115,60,43,22,12,6,2
2020-05-08,121,63,47,23,15,6,2
2020-05-09,125,64,47,23,15,6,2
2020-05-10,125,64,48,24,15,6,2
2020-05-11,128,66,48,25,16,6,2
2020-05-12,134,70,49,25,17,6,3
2020-05-13,137,70,49,25,20,7,3
2020-05-14,138,71,49,26,21,7,3
2020-05-15,140,72,49,26,22,7,3
2020-05-16,142,74,49,26,22,7,3
2020-05-17,145,77,50,26,22,7,3
2020-05-18,148,80,51,26,22,7,3
2020-05-19,152,81,54,26,25,7,3
2020-05-20,154,82,55,26,26,7,3
2020-05-21,158,82,57,27,27,7,3
2020-05-22,162,85,57,27,27,7,3
2020-05-23,163,85,57,27,27,8,3
2020-05-24,164,85,57,28,27,8,3
2020-05-25,168,87,59,29,27,8,3
2020-05-26,177,88,62,29,28,8,3
2020-05-27,181,90,63,29,29,8,3
2020-05-28,186,93,64,30,29,8,3
2020-05-29,199,96,64,30,30,9,3
2020-05-30,201,96,64,31,30,9,3
2020-05-31,202,96,65,31,30,9,3
2020-06-01,214,98,65,31,32,9,3
2020-06-02,218,101,65,32,32,9,3
2020-06-03,224,103,65,34,33,9,3
2020-06-04,226,103,66,34,33,9,3
2020-06-05,229,104,66,37,34,10,3
2020-06-06,230,104,67,39,34,11,3
2020-06-07,235,106,67,39,35,11,3
2020-06-08,239,107,69,41,35,11,3
2020-06-09,246,110,69,41,38,11,3
2020-06-10,252,113,69,42,38,12,3
2020-06-11,258,115,70,42,38,12,3
2020-06-12,266,118,70,43,38,12,3
2020-06-13,269,119,70,43,39,12,3
2020-06-14,272,119,70,43,41,12,3
2020-06-15,278,122,70,43,42,12,3
2020-06-16,283,123,70,45,42,12,3
2020-06-17,286,123,70,45,42,12,3
2020-06-18,294,125,70,45,42,12,3
2020-06-19,303,128,74,46,43,12,3
2020-06-20,307,130,74,47,43,12,3
2020-06-21,307,130,74,47,43,12,3
2020-06-22,312,132,75,47,44,12,3
2020-06-23,315,133,77,48,45,12,3
2020-06-24,320,136,78,48,46,13,3
2020-06-25,327,139,78,49,46,13,3
2020-06-26,335,142,78,49,46,13,3
2020-06-27,337,142,78,49,46,14,3
2020-06-28,339,142,78,49,46,15,3
2020-06-29,343,144,78,49,47,16,3
2020-06-30,346,146,79,49,47,16,3
2020-07-01,352,147,82,50,48,17,3
2020-07-02,358,148,83,51,48,17,3
2020-07-03,360,150,84,51,48,17,3
2020-07-04,361,151,86,51,48,17,3
2020-07-05,364,152,86,51,48,17,3
2020-07-06,366,152,86,51,48,18,3
2020-07-07,372,155,87,51,50,18,3
2020-07-08,376,155,87,51,50,18,3
2020-07-09,380,155,87,53,50,18,3
2020-07-10,385,155,90,53,51,18,3
2020-07-11,387,155,90,53,52,18,3
2020-07-12,390,156,91,53,52,18,3
2020-07-13,393,156,92,53,53,18,3
2020-07-14,399,159,93,53,55,18,3
2020-07-15,403,159,94,54,55,18,3
2020-07-16,407,159,98,55,55,18,3
2020-07-17,408,159,102,57,55,18,3
2020-07-18,409,160,103,57,55,18,4
2020-07-19,411,161,103,57,55,18,4
2020-07-20,415,163,103,57,55,18,4
2020-07-21,422,164,103,57,55,18,4
2020-07-22,424,164,104,57,56,18,4
2020-07-23,430,165,105,57,57,18,4
2020-07-24,433,165,109,58,57,18,4
2020-07-25,435,165,111,59,57,18,4
2020-07-26,438,165,112,59,57,18,4
2020-07-27,440,165,112,60,57,18,5
2020-07-28,446,168,113,61,57,18,5
2020-07-29,449,169,114,61,57,18,5
2020-07-30,458,172,115,63,60,18,5
2020-07-31,462,172,115,63,61,18,5
2020-08-01,465,175,115,63,61,18,5
2020-08-02,467,176,115,64,61,18,5
2020-08-03,473,180,117,66,61,18,5
2020-08-04,477,185,118,68,64,18,5
2020-08-05,479,185,120,69,64,18,5
2020-08-06,487,188,122,70,65,18,5
2020-08-07,490,189,125,71,65,18,5
2020-08-08,491,189,125,72,65,18,5
2020-08-09,492,189,125,72,65,18,5
2020-08-10,499,193,125,73,67,18,5
2020-08-11,508,196,125,73,69,19,5
2020-08-12,511,198,125,74,70,19,5
2020-08-13,512,199,125,76,70,19,5
2020-08-14,514,200,125,77,70,20,6
2020-08-15,515,202,125,77,70,20,6
2020-08-16,516,202,125,77,70,20,6
2020-08-17,517,203,125,77,70,20,6
2020-08-18,518,204,126,77,70,20,6
2020-08-19,521,205,127,77,71,20,6
2020-08-20,525,206,127,78,71,20,6
2020-08-21,528,206,127,78,72,20,6
2020-08-22,529,206,127,78,72,20,6
2020-08-23,530,206,127,78,72,20,6
2020-08-24,530,206,127,78,72,20,6
2020-08-25,530,206,127,78,72,20,6
2020-08-26,530,206,127,78,72,20,6
2020-08-27,530,206,127,78,72,20,6
2020-08-28,530,206,127,78,72,20,6
2020-08-29,530,206,127,78,72,20,6
2020-08-30,530,206,127,78,72,20,6
2020-08-31,530,206,128,78,72,20,6
2020-09-01,530,206,128,78,72,20,6
2020-09-02,530,206,128,78,72,20,6
2020-09-03,530,206,128,78,72,20,6
2020-09-04,530,206,128,78,72,20,6
2020-09-05,530,206,129,78,72,20,6
